Sentence #,text,word,tag
Sentence 1,Heat stress and persistent dehydration can cause kidney damage. IMPLIED_BASE IMPLIED_BASE,Heat,O
Sentence 1,Heat stress and persistent dehydration can cause kidney damage. IMPLIED_BASE IMPLIED_BASE,stress,base
Sentence 1,Heat stress and persistent dehydration can cause kidney damage. IMPLIED_BASE IMPLIED_BASE,persistent,O
Sentence 1,Heat stress and persistent dehydration can cause kidney damage. IMPLIED_BASE IMPLIED_BASE,dehydration,base
Sentence 1,Heat stress and persistent dehydration can cause kidney damage. IMPLIED_BASE IMPLIED_BASE,can,O
Sentence 1,Heat stress and persistent dehydration can cause kidney damage. IMPLIED_BASE IMPLIED_BASE,cause,O
Sentence 1,Heat stress and persistent dehydration can cause kidney damage. IMPLIED_BASE IMPLIED_BASE,kidney,base
Sentence 1,Heat stress and persistent dehydration can cause kidney damage. IMPLIED_BASE IMPLIED_BASE,damage,O
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",This summer,O
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",heat,base
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",was,O
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",intensified,O
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",by,O
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",lack of,O
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",clouds,base
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",rain,base
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",storm,base
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",activity,O
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",because of,O
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",weaker-than-usual,O
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",summer,O
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",monsoon,base
Sentence 2,"This summer, the heat was intensified by a lack of clouds, rain and storm activity because of a weaker-than-usual summer monsoon, which typically runs from July into early fall. IMPLIED_BASE IMPLIED_BASE",from July into early fall,O
Sentence 3,"Using these rates, the study's authors project that climate change, on its current course, could lead to between 9,000 and 40,000 additional suicides by 2050. IMPLIED_BASE IMPLIED_BASE",project,O
Sentence 3,"Using these rates, the study's authors project that climate change, on its current course, could lead to between 9,000 and 40,000 additional suicides by 2050. IMPLIED_BASE IMPLIED_BASE",climate change,base
Sentence 3,"Using these rates, the study's authors project that climate change, on its current course, could lead to between 9,000 and 40,000 additional suicides by 2050. IMPLIED_BASE IMPLIED_BASE",current course,O
Sentence 3,"Using these rates, the study's authors project that climate change, on its current course, could lead to between 9,000 and 40,000 additional suicides by 2050. IMPLIED_BASE IMPLIED_BASE",could,O
Sentence 3,"Using these rates, the study's authors project that climate change, on its current course, could lead to between 9,000 and 40,000 additional suicides by 2050. IMPLIED_BASE IMPLIED_BASE",lead to,O
Sentence 3,"Using these rates, the study's authors project that climate change, on its current course, could lead to between 9,000 and 40,000 additional suicides by 2050. IMPLIED_BASE IMPLIED_BASE","between 9,000 and 40,000",O
Sentence 3,"Using these rates, the study's authors project that climate change, on its current course, could lead to between 9,000 and 40,000 additional suicides by 2050. IMPLIED_BASE IMPLIED_BASE",additional,O
Sentence 3,"Using these rates, the study's authors project that climate change, on its current course, could lead to between 9,000 and 40,000 additional suicides by 2050. IMPLIED_BASE IMPLIED_BASE",suicides,base
Sentence 3,"Using these rates, the study's authors project that climate change, on its current course, could lead to between 9,000 and 40,000 additional suicides by 2050. IMPLIED_BASE IMPLIED_BASE",by 2050,O
Sentence 4,"Climate change, which is already causing heavier rainfall in many storms, is an important part of the mix. IMPLIED_BASE IMPLIED_BASE",Climate change,base
Sentence 4,"Climate change, which is already causing heavier rainfall in many storms, is an important part of the mix. IMPLIED_BASE IMPLIED_BASE",is,O
Sentence 4,"Climate change, which is already causing heavier rainfall in many storms, is an important part of the mix. IMPLIED_BASE IMPLIED_BASE",already,O
Sentence 4,"Climate change, which is already causing heavier rainfall in many storms, is an important part of the mix. IMPLIED_BASE IMPLIED_BASE",causing,O
Sentence 4,"Climate change, which is already causing heavier rainfall in many storms, is an important part of the mix. IMPLIED_BASE IMPLIED_BASE",heavier,O
Sentence 4,"Climate change, which is already causing heavier rainfall in many storms, is an important part of the mix. IMPLIED_BASE IMPLIED_BASE",rainfall,O
Sentence 4,"Climate change, which is already causing heavier rainfall in many storms, is an important part of the mix. IMPLIED_BASE IMPLIED_BASE",storms,base
Sentence 5,"This type of pollution, also known as smog, can damage the lungs and cause other serious health problems and death. IMPLIED_BASE IMPLIED_BASE",pollution,base
Sentence 5,"This type of pollution, also known as smog, can damage the lungs and cause other serious health problems and death. IMPLIED_BASE IMPLIED_BASE",smog,base
Sentence 5,"This type of pollution, also known as smog, can damage the lungs and cause other serious health problems and death. IMPLIED_BASE IMPLIED_BASE",can,O
Sentence 5,"This type of pollution, also known as smog, can damage the lungs and cause other serious health problems and death. IMPLIED_BASE IMPLIED_BASE",damage,O
Sentence 5,"This type of pollution, also known as smog, can damage the lungs and cause other serious health problems and death. IMPLIED_BASE IMPLIED_BASE",lungs,base
Sentence 5,"This type of pollution, also known as smog, can damage the lungs and cause other serious health problems and death. IMPLIED_BASE IMPLIED_BASE",cause,O
Sentence 5,"This type of pollution, also known as smog, can damage the lungs and cause other serious health problems and death. IMPLIED_BASE IMPLIED_BASE",serious,O
Sentence 5,"This type of pollution, also known as smog, can damage the lungs and cause other serious health problems and death. IMPLIED_BASE IMPLIED_BASE",health,base
Sentence 5,"This type of pollution, also known as smog, can damage the lungs and cause other serious health problems and death. IMPLIED_BASE IMPLIED_BASE",problems,O
Sentence 5,"This type of pollution, also known as smog, can damage the lungs and cause other serious health problems and death. IMPLIED_BASE IMPLIED_BASE",death,base
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",Wildfires,base
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",contributed to,O
Sentence 6,"Wildfires contributed to higher levels of PM2.5 pollution in the West, while the rise in ozone was attributed to warmer temperatures. IMPLIED_BASE IMPLIED_BASE",higher,O
